Region,Av.Price
Rosemont/La Petite Patrie,430000
Ahuntsic-Cartierville,1015337
Anjou,686128
Beaconsfield / Baie-D'Urfé,770967
Côte-St-Luc / Hampstead / Montréal-Ouest,1263125
Dollard-Des-Ormeaux,668000
Dorval / L'Île Dorval,629000
Griffintown,629000
Kirkland,898000
L'Ile Des Soeurs,1147966
L'île-Bizard / Sainte-Geneviève,1464092
Lachine,741715
LaSalle,799000
Le Plateau-Mont-Royal,1585049
Le Sud-Ouest,1151750
Mercier / Hochelaga / Maisonneuve,806112
Mont-Royal,1693500
Montréal-Nord,705282
Outremont,2850000
Pierrefonds / Roxboro,787858
Pointe-Aux-Trembles / Montréal-Est,759000
Pointe-Claire,749000
Rivière des Prairies,657464
Saint-Laurent,1022390
Saint-Léonard,971454
Ste-Anne-De-Bellevue,799000
Verdun,785000
Ville-Marie (Centre-Ville et Vieux Mtl),650000
Villeray / St-Michel / Parc-Extension,951725
Westmount,5623400